"","triToken","Ranking"
"1","thanks for the",1
"2","cant wait to",2
"3","i love you",4
"4","for the follow",4
"5","looking forward to",5
"6","to be a",6
"7","going to be",6
"8","thank you for",8
"9","im going to",10
"10","have a great",10
"11","a lot of",11
"12","you have a",12
"13","i have to",12
"14","i have a",14
"15","to see you",16
"16","thanks for following",16
"17","one of the",16
"18","do you think",18
"19","i want to",20
"20","a great day",20
"21","you want to",24
"22","wish i could",24
"23","let me know",24
"24","i need to",24
"25","i need a",24
"26","i miss you",24
"27","for the rt",24
"28","to go to",28
"29","what do you",30
"30","of the day",30
"31","is going to",30
"32","you so much",35
"33","wait to see",35
"34","to see the",35
"35","to be in",35
"36","i wish i",35
"37","i feel like",35
"38","cant wait for",35
"39","if you dont",41
"40","i dont know",41
"41","i cant wait",41
"42","how are you",41
"43","be able to",41
"44","want to be",46
"45","so i can",46
"46","one of those",46
"47","is the best",46
"48","in the world",46
"49","if you have",46
"50","you for the",52
"51","to make it",52
"52","to have a",52
"53","i will be",52
"54","going to the",52
"55","you in the",60
"56","there is a",60
"57","ready for the",60
"58","one of my",60
"59","not going to",60
"60","need to get",60
"61","id like to",60
"62","i was just",60
"63","i think i",60
"64","i got a",60
"65","go to the",60
"66","for me to",60
"67","what are you",73
"68","way to go",73
"69","the first time",73
"70","thank you so",73
"71","looking for a",73
"72","is a good",73
"73","if you want",73
"74","if you are",73
"75","i love that",73
"76","i love it",73
"77","i dont think",73
"78","happy mothers day",73
"79","for the first",73
"80","you have to",89
"81","we need to",89
"82","to be the",89
"83","some of the",89
"84","so much fun",89
"85","out of the",89
"86","im pretty sure",89
"87","im about to",89
"88","i used to",89
"89","i have no",89
"90","i could be",89
"91","i am going",89
"92","have a good",89
"93","had a great",89
"94","get back to",89
"95","check out the",89
"96","am going to",89
"97","all the time",89
"98","a great weekend",89
"99","would like to",112
"100","who wants to",112
"101","went to the",112
"102","we will be",112
"103","up in the",112
"104","trying to get",112
"105","to see it",112
"106","to get my",112
"107","thanks for sharing",112
"108","thank you to",112
"109","so much for",112
"110","please follow me",112
"111","of the year",112
"112","let us know",112
"113","know if you",112
"114","in front of",112
"115","i was a",112
"116","i think its",112
"117","i love your",112
"118","i get a",112
"119","i dont want",112
"120","hope to see",112
"121","have you been",112
"122","getting ready for",112
"123","do you have",112
"124","are going to",112
"125","all of the",112
"126","you going to",144
"127","would love to",144
"128","what is this",144
"129","to get it",144
"130","this is a",144
"131","the end of",144
"132","that was a",144
"133","thanks so much",144
"134","such a great",144
"135","shout out to",144
"136","right now i",144
"137","most of the",144
"138","me know if",144
"139","it would be",144
"140","it will be",144
"141","is one of",144
"142","i wanted to",144
"143","i want a",144
"144","i thought it",144
"145","i love the",144
"146","i know that",144
"147","i hope you",144
"148","i dont have",144
"149","i am so",144
"150","hope you have",144
"151","have no idea",144
"152","happy new year",144
"153","good to see",144
"154","dont want to",144
"155","dont have to",144
"156","check it out",144
"157","can i get",144
"158","but i have",144
"159","bad bad bad",144
"160","awkward moment when",144
"161","as much as",144
"162","are you going",144
"163","you dont have",187
"164","wish i was",187
"165","where are you",187
"166","to win a",187
"167","to the gym",187
"168","to have you",187
"169","to get a",187
"170","to catch up",187
"171","thought it was",187
"172","there was a",187
"173","there is no",187
"174","thank you i",187
"175","supposed to be",187
"176","so proud of",187
"177","see you in",187
"178","rt if you",187
"179","of all the",187
"180","no matter what",187
"181","need to be",187
"182","love you so",187
"183","look forward to",187
"184","know how to",187
"185","its time to",187
"186","is having a",187
"187","in the morning",187
"188","im not sure",187
"189","i wish you",187
"190","i thought i",187
"191","i really want",187
"192","i love my",187
"193","i have been",187
"194","i had to",187
"195","i guess i",187
"196","i cant even",187
"197","i am the",187
"198","here i come",187
"199","have to say",187
"200","forward to it",187
