"","biToken","Ranking"
"1","in the",1
"2","for the",2
"3","of the",3
"4","to be",4
"5","to the",5
"6","on the",6
"7","thanks for",7
"8","i love",8
"9","going to",9
"10","at the",10
"11","if you",11
"12","i am",12
"13","thank you",13
"14","to get",15
"15","i have",15
"16","have a",15
"17","i dont",17
"18","for a",18
"19","to see",19
"20","is a",20
"21","will be",21.5
"22","i was",21.5
"23","are you",23
"24","i just",24
"25","a great",25
"26","and i",26
"27","have to",27
"28","do you",28.5
"29","cant wait",28.5
"30","want to",30
"31","is the",31
"32","with the",32.5
"33","in a",32.5
"34","you have",34.5
"35","you are",34.5
"36","it was",36
"37","i think",37
"38","right now",38.5
"39","i can",38.5
"40","need to",41
"41","in my",41
"42","i know",41
"43","on my",43
"44","so much",44.5
"45","it is",44.5
"46","i cant",47
"47","but i",47
"48","a good",47
"49","be a",49
"50","the best",50.5
"51","love you",50.5
"52","this is",53
"53","i will",53
"54","all the",53
"55","when i",55
"56","follow me",56
"57","one of",57.5
"58","on a",57.5
"59","to go",59.5
"60","to do",59.5
"61","of my",61.5
"62","i need",61.5
"63","when you",63
"64","you can",64
"65","we are",66
"66","out of",66
"67","go to",66
"68","with a",68.5
"69","see you",68.5
"70","you know",70.5
"71","like a",70.5
"72","time to",73.5
"73","the world",73.5
"74","i could",73.5
"75","get a",73.5
"76","that i",76
"77","that is",78
"78","i want",78
"79","back to",78
"80","im not",80.5
"81","and the",80.5
"82","was a",83.5
"83","the same",83.5
"84","the new",83.5
"85","a few",83.5
"86","me i",87
"87","its a",87
"88","i got",87
"89","to my",90.5
"90","to make",90.5
"91","to have",90.5
"92","of a",90.5
"93","you think",93.5
"94","wait to",93.5
"95","i get",96
"96","i feel",96
"97","had a",96
"98","the first",98.5
"99","a lot",98.5
"100","with my",103.5
"101","what i",103.5
"102","so i",103.5
"103","in your",103.5
"104","if i",103.5
"105","forward to",103.5
"106","at least",103.5
"107","a little",103.5
"108","what you",112.5
"109","me to",112.5
"110","i like",112.5
"111","i hope",112.5
"112","i hate",112.5
"113","i had",112.5
"114","happy birthday",112.5
"115","for you",112.5
"116","about the",112.5
"117","a new",112.5
"118","you for",120
"119","trying to",120
"120","the next",120
"121","i would",120
"122","and a",120
"123","way to",125
"124","this morning",125
"125","the follow",125
"126","get it",125
"127","for me",125
"128","what is",130.5
"129","to you",130.5
"130","ready for",130.5
"131","of you",130.5
"132","i wish",130.5
"133","by the",130.5
"134","would be",138
"135","to me",138
"136","that was",138
"137","make it",138
"138","last night",138
"139","is not",138
"140","i really",138
"141","how to",138
"142","from the",138
"143","the day",145
"144","is that",145
"145","i miss",145
"146","check out",145
"147","as a",145
"148","you dont",151
"149","wish i",151
"150","the last",151
"151","that you",151
"152","love it",151
"153","i didnt",151
"154","be the",151
"155","you i",158
"156","to a",158
"157","they are",158
"158","the most",158
"159","for my",158
"160","all of",158
"161","about to",158
"162","to hear",166
"163","now i",166
"164","need a",166
"165","looking forward",166
"166","like to",166
"167","im going",166
"168","im a",166
"169","hope you",166
"170","can you",166
"171","you guys",173.5
"172","there is",173.5
"173","should be",173.5
"174","looking for",173.5
"175","its not",173.5
"176","i guess",173.5
"177","we have",180
"178","out to",180
"179","let me",180
"180","is it",180
"181","im so",180
"182","i thought",180
"183","all day",180
"184","you do",187
"185","not a",187
"186","it i",187
"187","have been",187
"188","got a",187
"189","get to",187
"190","did you",187
"191","on twitter",193.5
"192","miss you",193.5
"193","me a",193.5
"194","it to",193.5
"195","has been",193.5
"196","feel like",193.5
"197","you want",199.5
"198","you in",199.5
"199","what a",199.5
"200","we will",199.5
"201","this weekend",199.5
"202","is so",199.5
"203","you should",208
"204","with you",208
"205","was the",208
"206","to say",208
"207","the only",208
"208","thanks to",208
"209","on your",208
"210","my favorite",208
"211","has a",208
"212","but im",208
"213","be in",208
"214","up to",220.5
"215","to all",220.5
"216","the way",220.5
"217","the time",220.5
"218","of your",220.5
"219","my mom",220.5
"220","love the",220.5
"221","lol i",220.5
"222","just got",220.5
"223","it up",220.5
"224","i havent",220.5
"225","at all",220.5
"226","at a",220.5
"227","are the",220.5
"228","you so",234.5
"229","you and",234.5
"230","with your",234.5
"231","up with",234.5
"232","take a",234.5
"233","of course",234.5
"234","love to",234.5
"235","lots of",234.5
"236","lot of",234.5
"237","good morning",234.5
"238","for your",234.5
"239","for following",234.5
"240","dont know",234.5
"241","dont have",234.5
"242","you to",248.5
"243","you a",248.5
"244","to know",248.5
"245","think i",248.5
"246","there are",248.5
"247","see the",248.5
"248","part of",248.5
"249","of it",248.5
"250","next week",248.5
"251","make a",248.5
"252","like the",248.5
"253","ive been",248.5
"254","do not",248.5
"255","could be",248.5
"256","you will",262
"257","used to",262
"258","see it",262
"259","ready to",262
"260","out the",262
"261","of our",262
"262","my life",262
"263","more than",262
"264","know what",262
"265","how many",262
"266","good luck",262
"267","do it",262
"268","day i",262
"269","you too",276
"270","with me",276
"271","time i",276
